input number	| gross pay sum	| gross pay	| savings Rate	| saving Sum	| Saving amount	| ira Rate	| 	 ira sum	| ira amount	| Errors?
            1: |          100.00 |    100.00 |        10.00 |        10.00 |           10.00 |      5.00 |      5.00 |         5.00 |
            2: |         1100.00 |   1000.00 |        11.00 |       120.00 |          110.00 |      6.00 |     65.00 |        60.00 |
            3: |         1100.00 |   1000.00 |        11.00 |              |                 |     -6.00 |           |              |Invalid input negative value(s) detected. 
            4: |         2334.56 |   1234.56 |        10.50 |       249.63 |          129.63 |      6.00 |    139.07 |        74.07 |
            5: |         8877.77 |   6543.21 |        10.00 |       903.95 |          654.32 |      5.00 |    466.23 |       327.16 |
            6: |        18877.77 |  10000.00 |        12.00 |      2103.95 |         1200.00 |     10.00 |   1466.23 |      1000.00 |
            7: |        18877.77 |  -1000.00 |        10.00 |              |                 |      5.00 |           |              |Invalid input negative value(s) detected. 
            8: |        23321.99 |   4444.22 |        10.20 |      2557.26 |          453.31 |      4.90 |   1684.00 |       217.77 |
            9: |        25544.43 |   2222.44 |        11.90 |      2821.73 |          264.47 |     10.00 |   1906.24 |       222.24 |
           10: |        28686.02 |   3141.59 |        12.00 |      3198.72 |          376.99 |      5.00 |   2063.32 |       157.08 |
